Rank,Food Name,Serving,folate-b9 amount,Percent DV,Source
73,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",100 grams,264mcg,(66% DV),Standard Release
74,"Rice, white, long-grain, parboiled, enriched, dry",100 grams,257mcg,(64% DV),Standard Release
75,"Chicken, broilers or fryers, giblets, cooked, simmered",100 grams,257mcg,(64% DV),Standard Release
76,"Beef, variety meats and by-products, liver, cooked, braised",100 grams,253mcg,(63% DV),Standard Release
77,"Peanut flour, defatted",100 grams,248mcg,(62% DV),Standard Release
78,"Peanuts, valencia, raw",100 grams,246mcg,(62% DV),Standard Release
79,"Noodles, egg, spinach, enriched, dry",100 grams,245mcg,(61% DV),Standard Release
80,"Seeds, cottonseed meal, partially defatted (glandless)",100 grams,242mcg,(61% DV),Standard Release
81,"Peanuts, spanish, raw",100 grams,240mcg,(60% DV),Standard Release
82,"Peanuts, virginia, raw",100 grams,239mcg,(60% DV),Standard Release
83,"Seeds, sunflower seed kernels, toasted, without salt",100 grams,238mcg,(60% DV),Standard Release
84,"Seeds, sunflower seed kernels, toasted, with salt added",100 grams,238mcg,(60% DV),Standard Release
85,Seeds Sunflower Seed Butter With Salt Added,100 grams,237mcg,(59% DV),Standard Release
86,"Pasta, dry, enriched",100 grams,237mcg,(59% DV),Standard Release
87,"Seeds, sunflower seed kernels, dry roasted, with salt added",100 grams,237mcg,(59% DV),Standard Release
88,"Seeds, sunflower seed butter, without salt",100 grams,237mcg,(59% DV),Standard Release
89,"Seeds, sunflower seed kernels, oil roasted, without salt",100 grams,234mcg,(59% DV),Standard Release
90,"Seeds, sunflower seed kernels, oil roasted, with salt added",100 grams,234mcg,(59% DV),Standard Release
91,"Cornmeal, yellow, self-rising, bolted, plain, enriched",100 grams,233mcg,(58% DV),Standard Release
92,"Cornmeal, yellow, self-rising, degermed, enriched",100 grams,233mcg,(58% DV),Standard Release
93,"Cornmeal, white, self-rising, bolted, plain, enriched",100 grams,233mcg,(58% DV),Standard Release
94,"Cornmeal, white, self-rising, degermed, enriched",100 grams,233mcg,(58% DV),Standard Release
95,"Seeds, cottonseed kernels, roasted (glandless)",100 grams,233mcg,(58% DV),Standard Release
96,"Rice, white, long-grain, regular, raw, enriched",100 grams,231mcg,(58% DV),Standard Release
97,"Rice, white, medium-grain, raw, enriched",100 grams,231mcg,(58% DV),Standard Release
98,"Rice, white, short-grain, enriched, uncooked",100 grams,231mcg,(58% DV),Standard Release
99,"Noodles, egg, dry, enriched",100 grams,230mcg,(58% DV),Standard Release
100,"Lamb, variety meats and by-products, liver, raw",100 grams,230mcg,(58% DV),Standard Release
101,"Seeds, cottonseed flour, partially defatted (glandless)",100 grams,229mcg,(57% DV),Standard Release
102,"Peppers, sweet, red, freeze-dried",100 grams,229mcg,(57% DV),Standard Release
103,"Seeds, cottonseed flour, low fat (glandless)",100 grams,228mcg,(57% DV),Standard Release
104,"Soy flour, full-fat, roasted",100 grams,227mcg,(57% DV),Standard Release
105,"Seeds, sunflower seed flour, partially defatted",100 grams,222mcg,(56% DV),Standard Release
106,Papad,100 grams,219mcg,(55% DV),Standard Release
107,"Mungo beans, mature seeds, raw",100 grams,216mcg,(54% DV),Standard Release
108,"Epazote, raw",100 grams,215mcg,(54% DV),Standard Release
109,"Pork, fresh, variety meats and by-products, liver, raw",100 grams,212mcg,(53% DV),Standard Release
110,"Soybeans, mature seeds, roasted, salted",100 grams,211mcg,(53% DV),Standard Release
111,"Soybeans, mature seeds, roasted, no salt added",100 grams,211mcg,(53% DV),Standard Release
112,"Egg, yolk, dried",100 grams,209mcg,(52% DV),Standard Release
113,"Cornmeal, degermed, enriched, yellow",100 grams,209mcg,(52% DV),Standard Release
114,"Cornmeal, degermed, enriched, white",100 grams,209mcg,(52% DV),Standard Release
115,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",100 grams,208mcg,(52% DV),Standard Release
116,"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",100 grams,207mcg,(52% DV),Standard Release
117,"Lentils, pink or red, raw",100 grams,204mcg,(51% DV),Standard Release
118,"Protein supplement, milk based, Muscle Milk, powder",100 grams,200mcg,(50% DV),Standard Release
119,Meat extender,100 grams,198mcg,(50% DV),Standard Release
120,"Wheat flour, white, all-purpose, self-rising, enriched",100 grams,196mcg,(49% DV),Standard Release
121,"Egg, whole, dried, stabilized, glucose reduced",100 grams,193mcg,(48% DV),Standard Release
122,"Asparagus, frozen, unprepared",100 grams,191mcg,(48% DV),Standard Release
123,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",100 grams,188mcg,(47% DV),Standard Release
124,"Cowpeas (blackeyes), immature seeds, frozen, unprepared",100 grams,187mcg,(47% DV),Standard Release
125,"Wheat flour, white, cake, enriched",100 grams,186mcg,(47% DV),Standard Release
126,"Quinoa, uncooked",100 grams,184mcg,(46% DV),Standard Release
127,"Wheat flour, white, all-purpose, enriched, bleached",100 grams,183mcg,(46% DV),Standard Release
128,"Wheat flour, white, bread, enriched",100 grams,183mcg,(46% DV),Standard Release
129,All Purpose Flour (Enrinched and Unbleached),100 grams,183mcg,(46% DV),Standard Release
130,"Wheat flour, white, all-purpose, enriched, calcium-fortified",100 grams,183mcg,(46% DV),Standard Release
131,"Semolina, enriched",100 grams,183mcg,(46% DV),Standard Release
132,"Lentils, mature seeds, cooked, boiled, with salt",100 grams,181mcg,(45% DV),Standard Release
133,"Pasta, fresh-refrigerated, spinach, as purchased",100 grams,177mcg,(44% DV),Standard Release
134,"Pasta, fresh-refrigerated, plain, as purchased",100 grams,176mcg,(44% DV),Standard Release
135,"Soy protein isolate, potassium type",100 grams,176mcg,(44% DV),Standard Release
136,"Egg, yolk, raw, frozen, sugared, pasteurized",100 grams,174mcg,(44% DV),Standard Release
137,"Pigeonpeas, immature seeds, raw",100 grams,173mcg,(43% DV),Standard Release
138,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt",100 grams,172mcg,(43% DV),Standard Release
139,"Beans, pinto, mature seeds, cooked, boiled, with salt",100 grams,172mcg,(43% DV),Standard Release
140,"Wheat flour, white (industrial), 10% protein, unbleached, enriched",100 grams,170mcg,(43% DV),Standard Release
141,"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
142,"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",100 grams,170mcg,(43% DV),Standard Release
143,"Wheat flour, white (industrial), 13% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
144,"Wheat flour, white (industrial), 9% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
145,"Wheat flour, white (industrial), 10% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
146,"Wheat flour, white (industrial), 15% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
147,"Beans, pink, mature seeds, cooked, boiled, with salt",100 grams,168mcg,(42% DV),Standard Release
148,"Beans, pink, mature seeds, cooked, boiled, without salt",100 grams,168mcg,(42% DV),Standard Release
149,"Cowpeas (blackeyes), immature seeds, raw",100 grams,168mcg,(42% DV),Standard Release
150,"Onions, dehydrated flakes",100 grams,166mcg,(42% DV),Standard Release
151,Raw Green Soybeans,100 grams,165mcg,(41% DV),Standard Release
152,"Pork, fresh, variety meats and by-products, liver, cooked, braised",100 grams,163mcg,(41% DV),Standard Release
153,"Corn flour, yellow, masa, enriched",100 grams,162mcg,(41% DV),Standard Release
154,"Corn flour, masa, enriched, white",100 grams,162mcg,(41% DV),Standard Release
155,"Pepeao, dried",100 grams,160mcg,(40% DV),Standard Release
156,"Seeds, safflower seed meal, partially defatted",100 grams,159mcg,(40% DV),Standard Release
157,"Mung beans, mature seeds, cooked, boiled, with salt",100 grams,159mcg,(40% DV),Standard Release
158,"Egg, yolk, raw, frozen, pasteurized",100 grams,151mcg,(38% DV),Standard Release
159,"Lima beans, thin seeded (baby), mature seeds, cooked, boiled, with salt",100 grams,150mcg,(38% DV),Standard Release
160,"Lima beans, thin seeded (baby), mature seeds, cooked, boiled, without salt",100 grams,150mcg,(38% DV),Standard Release
161,"Asparagus, cooked, boiled, drained, with salt",100 grams,149mcg,(37% DV),Standard Release
162,"Beans, black, mature seeds, cooked, boiled, with salt",100 grams,149mcg,(37% DV),Standard Release
163,"Okra, frozen, unprepared",100 grams,148mcg,(37% DV),Standard Release
164,"Spinach, cooked, boiled, drained, with salt",100 grams,146mcg,(37% DV),Standard Release
165,"Yardlong beans, mature seeds, cooked, boiled, with salt",100 grams,146mcg,(37% DV),Standard Release
166,"Yardlong beans, mature seeds, cooked, boiled, without salt",100 grams,146mcg,(37% DV),Standard Release
167,"Spinach, frozen, chopped or leaf, unprepared",100 grams,145mcg,(36% DV),Standard Release
