Rank,Food Name,Serving,vitamin-b12 amount,Percent DV,Source
66,"Beef, variety meats and by-products, heart, cooked, simmered",100 grams,10.8mcg,(450% DV),Standard Release
67,"Egg, whole, dried, stabilized, glucose reduced",100 grams,10.5mcg,(438% DV),Standard Release
68,"Lamb, variety meats and by-products, heart, raw",100 grams,10.3mcg,(427% DV),Standard Release
69,"Beef, variety meats and by-products, brain, cooked, simmered",100 grams,10.1mcg,(421% DV),Standard Release
70,"Fish, herring, Pacific, raw",100 grams,10mcg,(417% DV),Standard Release
71,Dried Salted Atlantic Cod,100 grams,10mcg,(417% DV),Standard Release
72,"Lamb, New Zealand, imported, brains, raw",100 grams,10mcg,(416% DV),Standard Release
73,"Lamb, New Zealand, imported, testes, raw",100 grams,9.9mcg,(412% DV),Standard Release
74,"Veal, variety meats and by-products, brain, cooked, braised",100 grams,9.7mcg,(402% DV),Standard Release
75,"Lamb, New Zealand, imported, brains, cooked, soaked and fried",100 grams,9.5mcg,(398% DV),Standard Release
76,"Beef, variety meats and by-products, brain, raw",100 grams,9.5mcg,(396% DV),Standard Release
77,"Chicken, stewing, giblets, cooked, simmered",100 grams,9.5mcg,(395% DV),Standard Release
78,"Chicken, broilers or fryers, giblets, cooked, simmered",100 grams,9.4mcg,(393% DV),Standard Release
79,"Pate de foie gras, canned (goose liver pate), smoked",100 grams,9.4mcg,(392% DV),Standard Release
80,"Chicken, roasting, giblets, raw",100 grams,9.4mcg,(392% DV),Standard Release
81,"Pate, goose liver, smoked, canned",100 grams,9.4mcg,(392% DV),Standard Release
82,"Lamb, variety meats and by-products, brain, cooked, braised",100 grams,9.3mcg,(385% DV),Standard Release
83,"Lamb, New Zealand, imported, heart, cooked, soaked and simmered",100 grams,9.2mcg,(383% DV),Standard Release
84,"Mollusks, whelk, unspecified, raw",100 grams,9.1mcg,(378% DV),Standard Release
85,"Crustaceans, crab, blue, raw",100 grams,9mcg,(375% DV),Standard Release
86,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",100 grams,9mcg,(375% DV),Standard Release
87,"Crustaceans, crab, alaska king, raw",100 grams,9mcg,(375% DV),Standard Release
88,"Lamb, New Zealand, imported, testes, cooked, soaked and fried",100 grams,8.9mcg,(370% DV),Standard Release
89,"Mollusks, oyster, eastern, wild, raw",100 grams,8.8mcg,(365% DV),Standard Release
90,"Emu, top loin, cooked, broiled",100 grams,8.7mcg,(363% DV),Standard Release
91,"Beef, variety meats and by-products, heart, raw",100 grams,8.6mcg,(356% DV),Standard Release
92,Cooked Ground (Minced) Emu (Pan-Broiled),100 grams,8.5mcg,(355% DV),Standard Release
93,"Pork, fresh, variety meats and by-products, kidneys, raw",100 grams,8.5mcg,(354% DV),Standard Release
94,"Chicken, roasting, giblets, cooked, simmered",100 grams,8.5mcg,(352% DV),Standard Release
95,"Lamb, New Zealand, imported, heart, raw",100 grams,8.4mcg,(350% DV),Standard Release
96,"Game meat, raccoon, cooked, roasted",100 grams,8.3mcg,(346% DV),Standard Release
97,"Game meat, beaver, cooked, roasted",100 grams,8.3mcg,(346% DV),Standard Release
98,"Game meat, muskrat, cooked, roasted",100 grams,8.3mcg,(346% DV),Standard Release
99,"Game meat, opossum, cooked, roasted",100 grams,8.3mcg,(346% DV),Standard Release
100,"Game meat, rabbit, domesticated, composite of cuts, cooked, roasted",100 grams,8.3mcg,(346% DV),Standard Release
101,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",100 grams,8.2mcg,(341% DV),Standard Release
102,"Pate, chicken liver, canned",100 grams,8.1mcg,(336% DV),Standard Release
103,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",100 grams,8mcg,(332% DV),Standard Release
104,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",100 grams,7.9mcg,(330% DV),Standard Release
105,"Pork, fresh, variety meats and by-products, kidneys, cooked, braised",100 grams,7.8mcg,(325% DV),Standard Release
106,"Fish, trout, mixed species, raw",100 grams,7.8mcg,(325% DV),Standard Release
107,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",100 grams,7.7mcg,(322% DV),Standard Release
108,"Fish, trout, mixed species, cooked, dry heat",100 grams,7.5mcg,(312% DV),Standard Release
109,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",100 grams,7.3mcg,(306% DV),Standard Release
110,"Chicken, heart, all classes, cooked, simmered",100 grams,7.3mcg,(304% DV),Standard Release
111,"Chicken, heart, all classes, raw",100 grams,7.3mcg,(304% DV),Standard Release
112,"Lamb, variety meats and by-products, tongue, raw",100 grams,7.2mcg,(300% DV),Standard Release
113,"Game meat, rabbit, domesticated, composite of cuts, raw",100 grams,7.2mcg,(298% DV),Standard Release
114,"Beef, New Zealand, imported, variety meats and by-products, tripe uncooked, raw",100 grams,7.1mcg,(297% DV),Standard Release
115,"Fish, mackerel, spanish, cooked, dry heat",100 grams,7mcg,(292% DV),Standard Release
116,"Fish, mackerel, jack, canned, drained solids",100 grams,6.9mcg,(289% DV),Standard Release
117,"Emu, outside drum, raw",100 grams,6.9mcg,(288% DV),Standard Release
118,"Emu, oyster, raw",100 grams,6.8mcg,(282% DV),Standard Release
119,Raw Ground (Minced) Emu,100 grams,6.8mcg,(281% DV),Standard Release
120,"Beef, New Zealand, imported, variety meats and by-products, heart, cooked, boiled",100 grams,6.7mcg,(280% DV),Standard Release
121,"Emu, fan fillet, raw",100 grams,6.7mcg,(278% DV),Standard Release
122,"Game meat, caribou, cooked, roasted",100 grams,6.6mcg,(277% DV),Standard Release
123,"Game meat, rabbit, wild, cooked, stewed",100 grams,6.5mcg,(271% DV),Standard Release
124,"Game meat, rabbit, domesticated, composite of cuts, cooked, stewed",100 grams,6.5mcg,(271% DV),Standard Release
125,"Game meat, squirrel, cooked, roasted",100 grams,6.5mcg,(271% DV),Standard Release
126,"Ostrich, inside leg, cooked",100 grams,6.4mcg,(265% DV),Standard Release
127,"Ostrich, oyster, cooked",100 grams,6.3mcg,(263% DV),Standard Release
128,"Game meat, moose, cooked, roasted",100 grams,6.3mcg,(263% DV),Standard Release
129,"Game meat, caribou, raw",100 grams,6.3mcg,(263% DV),Standard Release
130,"Game meat, deer, raw",100 grams,6.3mcg,(263% DV),Standard Release
131,"Lamb, variety meats and by-products, tongue, cooked, braised",100 grams,6.3mcg,(263% DV),Standard Release
132,"Ostrich, outside strip, cooked",100 grams,6.3mcg,(261% DV),Standard Release
133,"Ostrich, tip trimmed, cooked",100 grams,6.3mcg,(260% DV),Standard Release
134,"Fish, bluefish, cooked, dry heat",100 grams,6.2mcg,(259% DV),Standard Release
135,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",100 grams,6.2mcg,(258% DV),Standard Release
136,"Ostrich, top loin, cooked",100 grams,6.2mcg,(257% DV),Standard Release
137,"Emu, flat fillet, raw",100 grams,6.1mcg,(255% DV),Standard Release
138,"Veal, variety meats and by-products, tongue, raw",100 grams,6.1mcg,(254% DV),Standard Release
139,"Lamb, New Zealand, imported, tongue - swiss cut, raw",100 grams,6.1mcg,(254% DV),Standard Release
140,"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",100 grams,6mcg,(250% DV),Standard Release
141,"Lamb, variety meats and by-products, pancreas, raw",100 grams,6mcg,(250% DV),Standard Release
142,Meat extender,100 grams,6mcg,(250% DV),Standard Release
143,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",100 grams,5.9mcg,(245% DV),Standard Release
144,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, raw",100 grams,5.8mcg,(243% DV),Standard Release
145,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",100 grams,5.8mcg,(240% DV),Standard Release
146,Ostrich Ground (Minced) Cooked Pan-Broiled,100 grams,5.7mcg,(239% DV),Standard Release
