Rank,Food Name,Serving,vitamin-b12 amount,Percent DV,Source
143,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",100 grams,5.9mcg,(245% DV),Standard Release
144,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, raw",100 grams,5.8mcg,(243% DV),Standard Release
145,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",100 grams,5.8mcg,(240% DV),Standard Release
146,Ostrich Ground (Minced) Cooked Pan-Broiled,100 grams,5.7mcg,(239% DV),Standard Release
147,"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",100 grams,5.7mcg,(238% DV),Standard Release
148,"Beef spleen",100 grams,5.7mcg,(237% DV),Standard Release
151,"Thuringer, cervelat, summer sausage, beef, pork",100 grams,5.5mcg,(229% DV),Standard Release
153,"Egg, duck, whole, fresh, raw",100 grams,5.4mcg,(225% DV),Standard Release
154,"Ostrich, inside strip, raw",100 grams,5.4mcg,(225% DV),Standard Release
155,"Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,5.4mcg,(225% DV),Standard Release
156,"Fish, bluefish, raw",100 grams,5.4mcg,(225% DV),Standard Release
157,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",100 grams,5.4mcg,(223% DV),Standard Release
158,"Veal spleen",100 grams,5.3mcg,(223% DV),Standard Release
159,"Lamb spleen",100 grams,5.3mcg,(223% DV),Standard Release
160,"Ostrich, outside strip, raw",100 grams,5.3mcg,(222% DV),Standard Release
165,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,5.2mcg,(218% DV),Standard Release
167,"Ostrich, outside leg, raw",100 grams,5.2mcg,(217% DV),Standard Release
168,"Beef tongue",100 grams,5.2mcg,(216% DV),Standard Release
169,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",100 grams,5.2mcg,(216% DV),Standard Release
172,"Beef, cured, luncheon meat, jellied",100 grams,5.1mcg,(214% DV),Standard Release
173,"Chicken, meatless, breaded, fried",100 grams,5.1mcg,(213% DV),Standard Release
175,"Egg, yolk, dried",100 grams,5.1mcg,(213% DV),Standard Release
176,"Ostrich, inside leg, raw",100 grams,5.1mcg,(213% DV),Standard Release
177,"Egg, goose, whole, fresh, raw",100 grams,5.1mcg,(213% DV),Standard Release
178,"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,5.1mcg,(212% DV),Standard Release
181,"Ostrich, tenderloin, raw",100 grams,5mcg,(210% DV),Standard Release
183,"Ostrich, round, raw",100 grams,5mcg,(209% DV),Standard Release
184,"Mollusks, clam, mixed species, canned, liquid",100 grams,5mcg,(208% DV),Standard Release
185,"Ostrich, tip trimmed, raw",100 grams,5mcg,(208% DV),Standard Release
186,"Ostrich, fan, raw",100 grams,5mcg,(207% DV),Standard Release
187,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",100 grams,5mcg,(207% DV),Standard Release
190,"Ostrich, top loin, raw",100 grams,4.9mcg,(206% DV),Standard Release
192,"Ostrich, oyster, raw",100 grams,4.9mcg,(205% DV),Standard Release
196,"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",100 grams,4.7mcg,(196% DV),Standard Release
197,"Fish, salmon, sockeye, raw",100 grams,4.7mcg,(195% DV),Standard Release
199,"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",100 grams,4.7mcg,(194% DV),Standard Release
