Rank,Food Name,Serving,iron-v2 amount,Percent DV,Source
163,"Carrot",100 grams,3.9mg,(22% DV),Standard Release
164,"Peanuts",100 grams,3.9mg,(22% DV),Standard Release
167,"almonds",100 grams,3.9mg,(21% DV),Standard Release
168,"Vegetable juice",100 grams,3.9mg,(21% DV),Standard Release
169,"Egg, duck",100 grams,3.9mg,(21% DV),Standard Release
170,"vegan Chicken",100 grams,3.8mg,(21% DV),Standard Release
173,"Chrysanthemum",100 grams,3.7mg,(21% DV),Standard Release
175,"vegan Sausage",100 grams,3.7mg,(21% DV),Standard Release
184,"Egg, quail",100 grams,3.7mg,(20% DV),Standard Release
185,"Egg, goose",100 grams,3.6mg,(20% DV),Standard Release
186,"Borage",100 grams,3.6mg,(20% DV),Standard Release
188,Dry Whole-Wheat Pasta,100 grams,3.6mg,(20% DV),Standard Release
189,Whole Grain Wheat Flour,100 grams,3.6mg,(20% DV),Standard Release
191,"Barley, hulled",100 grams,3.6mg,(20% DV),Standard Release
192,"Spinach",100 grams,3.6mg,(20% DV),Standard Release
193,Green Soybeans,100 grams,3.6mg,(20% DV),Standard Release
197,"Tomato sauce",100 grams,3.5mg,(19% DV),Standard Release
199,"Pasta, whole grain",100 grams,3.4mg,(19% DV),Standard Release
200,"artichokes",100 grams,3.4mg,(19% DV),Standard Release
