Rank,Food Name,Serving,iron amount,Percent DV,Source
171,Great Northern Beans,100 grams,5.5mg,(30% DV),Standard Release
172,"cottonseed kernels",100 grams,5.4mg,(30% DV),Standard Release
176,"Wheat",100 grams,5.4mg,(30% DV),Standard Release
177,"Beef steak",100 grams,5.3mg,(30% DV),Standard Release
178,"octopus",100 grams,5.3mg,(29% DV),Standard Release
179,"Pork kidneys",100 grams,5.3mg,(29% DV),Standard Release
180,"Pigeon peas",100 grams,5.2mg,(29% DV),Standard Release
181,"Emu, inside drum",100 grams,5.2mg,(29% DV),Standard Release
182,"Veal, lungs",100 grams,5.2mg,(29% DV),Standard Release
185,"mixed nuts",100 grams,5.2mg,(29% DV),Standard Release
188,"Hyacinth beans",100 grams,5.1mg,(28% DV),Standard Release
190,"Emu, top loin",100 grams,5.1mg,(28% DV),Standard Release
191,pinto beans,100 grams,5.1mg,(28% DV),Standard Release
200,"horse",100 grams,5mg,(28% DV),Standard Release
